is_authentic_no posemo_yes negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  role architecture played building destroying syria 
is_analytic_no is_clout_yes is_authentic_yes discrep_yes tentat_yes differ_yes see_yes netspeak_yes few_sixltr has_qmark has_video has_hashtag has_url  saw little girl street pass right foreverychild 
is_clout_yes is_authentic_no is_tone_yes posemo_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr low_wps has_exclam has_photo has_hashtag has_url  happy birthday goodwill ambassador leo messi thank supporting work children messi29 
is_clout_yes is_authentic_no posemo_yes achieve_yes reward_yes netspeak_yes many_sixltr has_exclam has_photo has_url  congrats unicef ambassador receive audrey hepburn humanitarian award 
is_clout_yes is_tone_yes posemo_yes insight_yes discrep_yes certain_yes affiliation_yes netspeak_yes has_exclam has_photo has_hashtag has_url  today wish happy fathersday fathers father figures 
is_clout_no is_authentic_yes is_tone_yes posemo_yes discrep_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr high_wps has_photo has_hashtag has_url  love school like work education grow rezan iraq living camp syria 
is_authentic_yes is_tone_no negemo_yes differ_yes hear_yes affiliation_yes netspeak_yes has_exclam has_photo has_hashtag has_url  albinismawareness day let speak discrimination violence 
is_authentic_yes insight_yes cause_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  world day childlabour let remember 168m children forced work denied basic rights 
is_analytic_no is_tone_yes posemo_yes differ_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr high_wps has_photo has_hashtag has_url  honour life muhammadali legendary boxer world champion equality peace 
is_clout_yes is_tone_yes posemo_yes insight_yes certain_yes hear_yes affiliation_yes power_yes netspeak_yes has_exclam has_photo has_hashtag has_url  mothersday say big thank amazing mothers mother figures worldwide 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  10 million children war torn yemen need humanitarian assistance 
is_clout_yes posemo_yes certain_yes achieve_yes power_yes reward_yes netspeak_yes has_photo has_url  education gives children young people necessary skills build better future 
is_authentic_yes affiliation_yes netspeak_yes few_sixltr has_exclam has_hashtag has_url  stay tuned unicef coverage undmz snapchat week 
is_analytic_yes posemo_yes negemo_yes certain_yes risk_yes netspeak_yes few_sixltr has_video has_hashtag has_url  true story year old girl dangerous voyage leaky boat actofhumanity 
is_authentic_no see_yes netspeak_yes few_sixltr has_photo has_hashtag has_url  chilcot report image 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anger_yes feel_yes achieve_yes power_yes risk_yes high_wps none  uk press today bbc guardian denouncing blair iraq left unstated huge propaganda effort pushing war 
is_authentic_no is_tone_yes posemo_yes insight_yes see_yes affiliation_yes risk_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  wikileaks cable reveals chilcot report fixed protect interests iraq 
is_authentic_no power_yes netspeak_yes high_wps has_photo has_url  email hillary knowingly instructs staff send classified doc unsecure 
is_clout_no is_authentic_yes differ_yes netspeak_yes high_wps has_video has_hashtag has_url  assange 12 june fbi indict clinton push concessions exchange indict 
is_authentic_yes is_tone_yes posemo_yes insight_yes differ_yes feel_yes power_yes nonflu_yes many_sixltr high_wps none  press concentrated hillary clinton email investigation evidence suspected criminality extends 
is_analytic_no is_clout_no is_authentic_yes insight_yes discrep_yes differ_yes netspeak_yes high_wps has_video has_url  assange hillary clinton weeks ago fbi doj evidence indict indict 
is_authentic_no netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  assange hillary google imwithher feelthebern trumptrain 
is_analytic_yes is_authentic_no certain_yes achieve_yes power_yes netspeak_yes high_wps has_hashtag has_url  ahead chilcot report complete list british mps voted invade iraq 
is_analytic_yes achieve_yes netspeak_yes has_hashtag has_url  ahead chilcot report 1258 hillary clinton emails iraq 
is_analytic_yes is_tone_no negemo_yes anger_yes insight_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  wikileaks iraq war explorer 392k classified docs iraq war chilcot 
is_clout_yes is_authentic_no is_tone_yes posemo_yes discrep_yes differ_yes affiliation_yes risk_yes many_sixltr high_wps none  doj head lorreta lynch recuse national security case julian assange given proxmity clinton 
is_analytic_yes is_authentic_yes power_yes netspeak_yes has_photo has_url  2015 hillary clinton campaign hq moved pierrepoint plazza floors doj head lorreta lynch 
is_authentic_no is_tone_no negemo_yes anger_yes affiliation_yes power_yes risk_yes netspeak_yes high_wps has_photo has_hashtag has_url  ruth smeeth labour mp attacked corbyn listed strictly protect informant 
tentat_yes affiliation_yes achieve_yes netspeak_yes few_sixltr high_wps has_url  state dept trying delay release clinton emails 27 months 
is_authentic_no netspeak_yes many_sixltr high_wps has_hashtag has_url  text benghazi report released hillary clinton emails benghazireport hillary2016 
is_authentic_yes is_tone_no negemo_yes anx_yes anger_yes sad_yes cause_yes discrep_yes tentat_yes differ_yes achieve_yes power_yes risk_yes few_sixltr has_hashtag  corbyn coup forced blairites chilcot july mps pushed iraq war face ruin risk charges leader talks 
is_tone_no negemo_yes discrep_yes tentat_yes differ_yes feel_yes affiliation_yes achieve_yes power_yes high_wps has_hashtag  football politics london press push petition replay england iceland defeat team refuses home oct engisl brexit2 
is_authentic_no is_tone_no negemo_yes achieve_yes power_yes netspeak_yes many_sixltr low_wps has_animated_gif has_hashtag has_url  brexit2 iceland pop 320k defeats england pop 54m england euro2016 
is_analytic_yes power_yes netspeak_yes high_wps has_url  corbyn heckler gay parade pr man company headed blair chief spinmaster 
is_tone_no negemo_yes anger_yes certain_yes netspeak_yes assent_yes high_wps has_photo has_url  lkely uk pm boris johnson called end assange siege absolutely ridiculous 
is_authentic_no netspeak_yes high_wps has_photo has_hashtag has_url  brexit scrap assange arrest warrant brexit 
is_analytic_yes is_authentic_no posemo_yes cause_yes differ_yes few_sixltr high_wps has_hashtag  brexit set julian assange free eu arrest warrant used excuse hold charge scrapped uk 
is_analytic_yes is_clout_no is_authentic_yes insight_yes cause_yes differ_yes high_wps has_hashtag  brexit means scrapping european arrest warrant used excuse detain assange charge uk years 
is_analytic_yes is_clout_no is_authentic_yes differ_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  tomorrow june 19 julian assange years detained charge embassy freeassange 
is_authentic_no affiliation_yes risk_yes netspeak_yes many_sixltr has_photo has_url  protect coming publications torrent wikileaks insurance 2016 06 03 88 gb encrypted 
is_analytic_yes cause_yes power_yes many_sixltr none  flash swedish police launched criminal investigation prosecutor marrianne ny handling assange case soon 
is_analytic_yes is_authentic_yes power_yes netspeak_yes has_photo has_url  2015 hillary clinton campaign hq moved pierrepoint plazza floors doj head lorreta lynch 
is_analytic_yes is_authentic_yes insight_yes differ_yes netspeak_yes has_qmark has_url  isis linked gunman slays 50 florida attention turn hillary role fomenting isis 
is_authentic_no affiliation_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  mohummed ali military mohammedali muhammadali 
is_clout_yes is_authentic_no insight_yes power_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  hillary emails exposed secret names cia officers trump2016 feelthebern 
affiliation_yes achieve_yes power_yes reward_yes netspeak_yes high_wps has_photo has_hashtag has_url  gchq spy agency staff talk assange chat logs obtained legal process def inately fit 
is_authentic_no is_tone_no negemo_yes anx_yes affiliation_yes netspeak_yes many_sixltr low_wps has_photo has_url  zuckerberg bans terrifying assange cat facebook banned 
insight_yes affiliation_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  brazil dilma slayer president temer passed sensitive polical info intel 
is_authentic_no posemo_yes affiliation_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  brasil new president temer embassy informant intelligence military 
is_clout_yes is_tone_yes posemo_yes affiliation_yes power_yes risk_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  new brasil president temer provided political intelligence national security council military dilma 
affiliation_yes power_yes netspeak_yes high_wps has_hashtag has_url  brasil dilma ousted parliamentary coup new pres embassy informant michel temer 
is_authentic_no posemo_yes cause_yes certain_yes see_yes affiliation_yes power_yes high_wps has_hashtag  like thank satoshi hoaxer dr craig wright showing bankrupt fact checking standards bbc lrb economist 
is_analytic_yes is_tone_yes posemo_yes feel_yes netspeak_yes low_wps has_exclam has_photo has_hashtag has_url  homage wikileaks unveiled berlin world press freedom day thanks berlin artist rsf wpfd2016 
is_analytic_no is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes insight_yes tentat_yes differ_yes power_yes netspeak_yes high_wps has_url  panama papers published given police lawyers money moved evidence destroyed 
is_analytic_no is_authentic_no posemo_yes differ_yes achieve_yes power_yes reward_yes few_sixltr none  ecuador quake official death toll hit 413 thoughts hearts money rescue equipment work better 
is_analytic_yes is_tone_no negemo_yes anger_yes tentat_yes risk_yes many_sixltr low_wps has_hashtag  assange earthquake ecuador kills 77 possibly hundreds tsunami warning given world stands ecuador 
is_analytic_yes is_tone_yes posemo_yes power_yes netspeak_yes has_url  china free rights lawyers held secretly year 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes sad_yes discrep_yes affiliation_yes power_yes netspeak_yes few_sixltr has_url  senate reject immigration bills 
achieve_yes netspeak_yes has_url  eu nato europe plan endangers foreigners libya 
is_authentic_no is_tone_yes posemo_yes tentat_yes power_yes netspeak_yes has_qmark has_url  quote week resonates strongly quotes available 
is_analytic_yes netspeak_yes few_sixltr high_wps has_photo has_hashtag has_url  quoted brief turkey yemen brexit 
is_authentic_no posemo_yes negemo_yes risk_yes netspeak_yes many_sixltr high_wps has_photo has_url  kazakhstan security council bid troubling rights record 
is_authentic_no is_tone_yes posemo_yes discrep_yes power_yes netspeak_yes has_url  china new bank projects respect rights 
insight_yes netspeak_yes many_sixltr has_url  thailand junta bans referendum monitoring 
is_authentic_yes netspeak_yes many_sixltr has_url  quoted daily brief 
is_clout_yes is_authentic_yes is_tone_yes posemo_yes affiliation_yes netspeak_yes has_url  australia parties stand human rights 
is_analytic_yes is_authentic_yes netspeak_yes has_url  podcast deep dive human rights central asia 
is_authentic_no netspeak_yes high_wps has_photo has_hashtag has_url  dispatches mom alive mediterranean 
is_authentic_no is_tone_yes posemo_yes tentat_yes power_yes netspeak_yes has_qmark has_url  quote week resonates strongly quotes available 
is_authentic_no is_tone_no negemo_yes anx_yes anger_yes netspeak_yes high_wps has_photo has_url  brief falluja fears bahrain backslide cia torture burma ban chemical castration 
is_authentic_no discrep_yes power_yes netspeak_yes many_sixltr has_url  azerbaijan berlin urge prisoner releases 
is_clout_yes certain_yes see_yes affiliation_yes netspeak_yes has_url  breadth rights commitment china dialogue 
is_analytic_yes is_authentic_no hear_yes affiliation_yes netspeak_yes many_sixltr has_hashtag has_url  silenced husband disappearance donetsk ukraine 
is_authentic_no is_tone_yes posemo_yes tentat_yes power_yes netspeak_yes has_qmark has_url  quote week resonates strongly quotes available 
is_authentic_yes netspeak_yes many_sixltr has_url  quoted daily brief 
netspeak_yes high_wps has_photo has_url  quoted brief 
is_analytic_yes is_authentic_yes achieve_yes power_yes netspeak_yes few_sixltr has_photo has_url  day human rights news email sign daily brief 
is_analytic_yes power_yes netspeak_yes many_sixltr has_url  kazakhstan activists rounded 
is_authentic_yes reward_yes netspeak_yes many_sixltr high_wps has_url  quoted daily brief 
insight_yes netspeak_yes many_sixltr has_url  remembering michael ratner 
is_analytic_yes power_yes netspeak_yes many_sixltr has_hashtag has_url  dispatches ominous shadows museveni inauguration uganda 
is_analytic_yes is_authentic_yes netspeak_yes high_wps has_url  dispatches legal abortion reach colombia 
netspeak_yes many_sixltr has_url  afghanistan halt executions 
is_analytic_yes power_yes netspeak_yes many_sixltr has_url  dr congo crackdown presidential aspirant 
is_authentic_no is_tone_yes posemo_yes tentat_yes power_yes netspeak_yes has_qmark has_url  quote resonates strongly select following 
is_authentic_no netspeak_yes many_sixltr has_url  israel palestine hamas bus bombing targets civilians 
is_authentic_no is_tone_yes posemo_yes tentat_yes power_yes netspeak_yes has_qmark has_url  quote resonates strongly select following 
is_clout_yes is_authentic_no discrep_yes affiliation_yes power_yes netspeak_yes low_wps has_exclam has_hashtag has_url  urgent needs 2000 signatures end april giveyouthachance help sign4youthjustice 
is_analytic_yes is_authentic_no netspeak_yes many_sixltr has_url  kyrgyzstan calls activist release 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes anger_yes cause_yes see_yes netspeak_yes has_url  mexico response torture video falls short 
is_authentic_yes netspeak_yes many_sixltr has_url  quoted daily brief 
is_analytic_yes is_clout_yes is_authentic_yes discrep_yes affiliation_yes achieve_yes power_yes netspeak_yes few_sixltr has_qmark has_photo has_url  want day human rights news email sign daily brief 
netspeak_yes many_sixltr high_wps has_photo has_url  quoted today refugees isis 
is_authentic_no is_tone_no negemo_yes sad_yes netspeak_yes has_url  obama gulf abandonment issues 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes risk_yes netspeak_yes many_sixltr has_url  quoted brief 
is_analytic_yes netspeak_yes few_sixltr high_wps has_photo has_hashtag has_url  daily brief trapped syria fifa china warondrugs chibok girls 
is_clout_yes is_authentic_no is_tone_no negemo_yes insight_yes affiliation_yes power_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  thoughts orlando victims families lgbtq community 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes discrep_yes tentat_yes certain_yes see_yes netspeak_yes has_exclam has_photo has_hashtag has_url  happy mothersday moms klimt hope ii stunning depiction pregnancy 
is_analytic_yes is_authentic_no hear_yes power_yes netspeak_yes has_photo has_url  stream live moma director glenn lowry speaks 
is_analytic_yes affiliation_yes power_yes netspeak_yes high_wps has_url  stream tonight sold conversation moma director glenn lowry live 
is_authentic_yes netspeak_yes many_sixltr has_exclam has_url  tonight event sold stream yj performance pm 
is_analytic_yes is_clout_yes is_tone_yes posemo_yes hear_yes affiliation_yes reward_yes netspeak_yes few_sixltr low_wps has_exclam has_url  thanks shout great company 
is_analytic_yes tentat_yes differ_yes see_yes netspeak_yes high_wps has_photo has_hashtag has_url  goflight digital experience connects museum home stories videos 
is_authentic_no is_tone_yes posemo_yes affiliation_yes netspeak_yes many_sixltr has_photo has_hashtag has_url  sharing california cultural treasures 2016folklife 
netspeak_yes few_sixltr low_wps has_exclam has_url  days vote 
is_analytic_yes insight_yes tentat_yes achieve_yes netspeak_yes high_wps has_hashtag has_url  trying taste home america chinatowns story apahm 
is_clout_no see_yes feel_yes reward_yes netspeak_yes few_sixltr high_wps has_photo has_url  scenes look photos hard hat required 
cause_yes differ_yes see_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  used train pilots wwii tells story service country equals buildnmaahc 
is_analytic_no is_authentic_yes posemo_yes tentat_yes certain_yes differ_yes see_yes affiliation_yes achieve_yes many_sixltr high_wps none  expressed collecting george zimmerman firearm plans collect display museums 
is_analytic_yes is_clout_yes affiliation_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  follow cubavisit latest cultural mission including secretary david skorton 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes discrep_yes tentat_yes hear_yes netspeak_yes has_hashtag has_url  hope enjoyed preview forget tune 17 siyouthsummit japanese american incarceration 
is_analytic_no cause_yes see_yes affiliation_yes achieve_yes netspeak_yes has_animated_gif has_hashtag has_url  year turns 10 celebrating bhlat10 
is_authentic_no cause_yes tentat_yes see_yes netspeak_yes few_sixltr has_url  goat stare puppy dog eyes 
see_yes netspeak_yes few_sixltr has_url  white bean salad simple dish 
is_analytic_no is_clout_yes insight_yes cause_yes netspeak_yes many_sixltr has_url  gambler fallacy affects decision making 
is_clout_yes is_authentic_yes affiliation_yes netspeak_yes few_sixltr has_exclam has_video has_url  check tap tonight starts hour 7c 
is_analytic_no is_authentic_no netspeak_yes many_sixltr high_wps has_url  sewed paramilitary uniforms business 
cause_yes differ_yes reward_yes netspeak_yes has_qmark has_url  ask headhunter new grads jobs automated interviews 
is_authentic_yes see_yes netspeak_yes few_sixltr has_url  white bean salad simple dish 
is_analytic_yes is_authentic_yes affiliation_yes netspeak_yes filler_yes many_sixltr has_url  obama slows troop drawdown afghanistan 
is_analytic_yes is_authentic_no achieve_yes netspeak_yes many_sixltr has_url  overture sanders clinton unveils college costs plan 
is_clout_yes see_yes affiliation_yes power_yes netspeak_yes has_qmark has_hashtag has_url  doc policing police ask policereform qs today 2pm est live 
is_analytic_yes is_authentic_yes posemo_yes see_yes achieve_yes power_yes netspeak_yes low_wps has_hashtag has_url  watch strongest flyers push physics limit wildflyerspbs premiere tonight 7c 
is_authentic_yes is_tone_no negemo_yes anx_yes insight_yes tentat_yes achieve_yes power_yes netspeak_yes high_wps has_url  column college planning mean stress seniors come fall 
discrep_yes certain_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  campaign connection reads clinton atlantic city obama hits trail electionpbs 
is_clout_yes insight_yes discrep_yes affiliation_yes power_yes netspeak_yes has_qmark has_hashtag has_url  want know policereform answer today 2pm est facebook 
is_analytic_no is_clout_yes is_authentic_yes affiliation_yes netspeak_yes has_qmark has_video has_hashtag has_url  doing tonight doing starting 7c comejoinus 
is_authentic_yes see_yes netspeak_yes has_url  tonight 
is_analytic_yes is_authentic_yes hear_yes power_yes netspeak_yes many_sixltr has_hashtag has_url  july boomers reached huge milestone regarding retirement savings 
is_analytic_yes is_authentic_yes is_tone_no negemo_yes cause_yes tentat_yes achieve_yes power_yes netspeak_yes high_wps has_url  dump trump movement faces likely defeat gop convention 
cause_yes differ_yes reward_yes netspeak_yes has_qmark has_url  ask headhunter new grads jobs automated interviews 
is_authentic_no discrep_yes tentat_yes certain_yes power_yes netspeak_yes high_wps has_photo has_url  campaign connection reads unprecedented election 
is_analytic_yes is_authentic_yes posemo_yes netspeak_yes has_url  scrambled eggs recipe upgrade thx summer tomatoes 
is_authentic_no cause_yes tentat_yes power_yes netspeak_yes many_sixltr has_url  assessing possible picks trump vice president 
is_analytic_no is_clout_yes is_tone_yes posemo_yes has_qmark has_hashtag  favorite july4thpbs far 
is_analytic_yes affiliation_yes power_yes netspeak_yes has_url  trump turns celebrity friends help gop convention 
is_authentic_no is_tone_no negemo_yes sad_yes tentat_yes achieve_yes power_yes risk_yes netspeak_yes many_sixltr has_url  immigration stands obama glaring failure 
insight_yes certain_yes hear_yes netspeak_yes high_wps has_animated_gif has_url  icymi browse digital archive discover heard interviews 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes tentat_yes netspeak_yes many_sixltr low_wps has_exclam has_url  popular summertime recipes grilled pizza 
affiliation_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  facebook live chatting july4thpbs performer 
is_analytic_yes posemo_yes cause_yes see_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  watch albatross uses power wind fly free supernature wild flyers 7c wildflyerspbs 
is_analytic_yes is_authentic_yes netspeak_yes has_video has_url  check latest webcast extra 
is_analytic_yes is_tone_no negemo_yes anger_yes insight_yes power_yes netspeak_yes few_sixltr has_hashtag has_url  new victim targeted police race identify capture killer thetunnelpbs 10 30 30c 
is_analytic_no is_clout_no is_tone_yes posemo_yes cause_yes discrep_yes differ_yes netspeak_yes few_sixltr has_url  column fed print money 
cause_yes netspeak_yes many_sixltr has_url  drones raised privacy concerns cyberspace 
is_analytic_no posemo_yes negemo_yes insight_yes cause_yes netspeak_yes nonflu_yes few_sixltr high_wps has_url  know world brexit fallout soccer shock 
is_analytic_yes is_clout_yes is_authentic_yes affiliation_yes achieve_yes power_yes reward_yes netspeak_yes many_sixltr has_exclam has_photo has_hashtag has_url  team taking snapchat account today follow pbsofficial day aspenideas 
netspeak_yes has_exclam has_url  rent 1964 99 cents week expires 12 
is_analytic_yes is_authentic_no netspeak_yes many_sixltr low_wps has_hashtag has_url  serve mini cherry crumbles july4thpbs dessert 
insight_yes tentat_yes differ_yes reward_yes netspeak_yes few_sixltr has_exclam has_qmark has_photo has_hashtag has_url  hummingbird rhino beetle quiz wildflyerspbs 
is_analytic_yes is_authentic_yes insight_yes netspeak_yes high_wps has_url  catch night riveting holocaust tunnel discovery lithuania 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes discrep_yes achieve_yes power_yes reward_yes netspeak_yes has_url  wishing best 
is_analytic_yes is_authentic_yes netspeak_yes has_url  nasa juno zooms jupiter 
insight_yes tentat_yes differ_yes reward_yes netspeak_yes few_sixltr has_qmark has_photo has_hashtag has_url  hummingbird rhino beetle quiz wildflyerspbs 
is_analytic_yes is_authentic_yes see_yes netspeak_yes few_sixltr high_wps has_url  column forget white picket fence american dream city 
insight_yes cause_yes see_yes netspeak_yes low_wps has_hashtag has_url  learn whooper swan prepares takeoff supernature wild flyers wednesday 7c wildflyerspbs 
insight_yes tentat_yes differ_yes reward_yes netspeak_yes few_sixltr has_exclam has_qmark has_photo has_hashtag has_url  hummingbird rhino beetle quiz wildflyerspbs 
is_authentic_no discrep_yes certain_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  campaign connection reads trump trade npr 270 project electionpbs 
is_analytic_no is_authentic_no cause_yes affiliation_yes netspeak_yes many_sixltr has_qmark has_url  twitter chat constitutions address sexual orientation gender identity 
is_analytic_yes is_authentic_no is_tone_no negemo_yes anger_yes power_yes netspeak_yes many_sixltr has_url  cia director istanbul attack bears hallmarks isil depravity 
cause_yes feel_yes power_yes netspeak_yes few_sixltr low_wps has_hashtag has_url  breaking hard uk leave eu brexit 
is_authentic_no posemo_yes see_yes reward_yes netspeak_yes has_exclam has_photo has_hashtag has_url  contestant great british baking powerlifter pbsbakingshow 
is_analytic_no insight_yes cause_yes see_yes achieve_yes netspeak_yes many_sixltr low_wps has_hashtag has_url  learn animals overcome gravity airborne supernature wild flyers tonight 7c wildflyerspbs 
is_analytic_no insight_yes affiliation_yes netspeak_yes has_url  know know istanbul bombing 
is_analytic_yes is_authentic_yes posemo_yes negemo_yes anx_yes tentat_yes netspeak_yes many_sixltr has_url  supreme court leans left term unsettled scalia death 
is_analytic_yes is_tone_no posemo_yes negemo_yes anx_yes anger_yes sad_yes insight_yes hear_yes achieve_yes power_yes netspeak_yes high_wps has_url  lone wolf terror attacks inspired isis persist west envoy says 
is_analytic_no is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes certain_yes netspeak_yes many_sixltr high_wps has_url  inside minnesota sex offender facility released 
is_analytic_yes is_authentic_no netspeak_yes many_sixltr has_url  volkswagen pay 15 billion emissions settlement 
is_analytic_no is_clout_yes is_authentic_yes posemo_yes hear_yes affiliation_yes netspeak_yes nonflu_yes few_sixltr low_wps has_exclam has_qmark has_video has_url  hey ask pbs tonight say check starts 7c 
discrep_yes certain_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  campaign connection reads trump clinton weigh trade economy electionpbs 
is_clout_yes is_authentic_no discrep_yes netspeak_yes high_wps has_url  amber fossils tell 99 million year old story unusual baby birds 
is_analytic_no is_authentic_no cause_yes hear_yes netspeak_yes has_url  obama says anticipate major cataclysmic changes eu exit 
is_analytic_yes hear_yes netspeak_yes has_url  trump declares era americanism trade speech 
is_tone_yes posemo_yes affiliation_yes achieve_yes power_yes netspeak_yes many_sixltr high_wps has_url  column working parents jobs important economy 
is_authentic_yes is_tone_no negemo_yes sad_yes discrep_yes tentat_yes differ_yes see_yes hear_yes netspeak_yes high_wps has_url  missed look silence night available online streaming 
is_analytic_yes is_tone_no negemo_yes anger_yes cause_yes differ_yes hear_yes reward_yes netspeak_yes high_wps has_url  ask headhunter tell hr hike sounding like jerk 
is_analytic_yes is_clout_yes is_tone_yes posemo_yes affiliation_yes has_exclam has_hashtag  thanks tweeting pointtakenpbs season follow special debate friday aspenideas festival 
is_analytic_no is_clout_yes is_authentic_yes is_tone_yes posemo_yes hear_yes achieve_yes power_yes reward_yes low_wps has_qmark has_hashtag  best point heard tonight pointtakenpbs 
is_clout_yes is_tone_yes posemo_yes cause_yes discrep_yes see_yes power_yes has_qmark has_hashtag  studio audience watched pointtakenpbs debate higher percentage agreed organs sold mind changed 
is_analytic_yes is_authentic_no is_tone_yes posemo_yes cause_yes affiliation_yes reward_yes few_sixltr low_wps has_hashtag  using word profit dirty word points abby blanco pointtakenpbs 
is_analytic_no is_clout_yes is_authentic_no is_tone_yes posemo_yes cause_yes hear_yes affiliation_yes achieve_yes reward_yes has_hashtag  create pernicious people abroad organ transplant says pointtakenpbs 
is_analytic_no is_clout_yes is_authentic_no cause_yes discrep_yes tentat_yes differ_yes power_yes few_sixltr has_qmark has_hashtag  selling organs legal allow heirs sell organs die pointtakenpbs 
is_authentic_yes insight_yes certain_yes netspeak_yes few_sixltr low_wps has_url  fact check answer estimates 000 info 
is_analytic_no is_clout_yes is_authentic_no cause_yes discrep_yes tentat_yes certain_yes differ_yes reward_yes few_sixltr has_exclam has_qmark none  fact check expect kidney sold iran 
is_analytic_no is_authentic_no discrep_yes tentat_yes differ_yes hear_yes affiliation_yes few_sixltr has_hashtag  hold kidney sacred ova sperm embryo says pointtakenpbs 
is_authentic_no insight_yes discrep_yes netspeak_yes few_sixltr has_qmark has_hashtag has_url  want organ donor pointtakenpbs 
is_authentic_no certain_yes hear_yes affiliation_yes many_sixltr low_wps has_hashtag  organ donation fundamentally flawed says pointtakenpbs 
is_analytic_no is_authentic_no discrep_yes differ_yes hear_yes affiliation_yes achieve_yes high_wps has_hashtag  pointtakenpbs teams abby blanco say organs sold say 
is_analytic_yes is_clout_yes is_authentic_yes posemo_yes insight_yes affiliation_yes few_sixltr has_exclam has_qmark has_hashtag  day 22 people die waiting organ free market answer join pointtakenpbs debate starting 10 min 
is_analytic_no is_clout_no is_authentic_yes is_tone_no negemo_yes anger_yes certain_yes netspeak_yes many_sixltr high_wps has_url  inside minnesota sex offender facility released 
is_analytic_yes is_authentic_yes power_yes netspeak_yes high_wps has_photo has_hashtag has_url  follow campaign connection latest house benghazi report electionpbs 
is_tone_no negemo_yes sad_yes discrep_yes tentat_yes differ_yes see_yes hear_yes netspeak_yes high_wps has_url  missed look silence night available online streaming 
insight_yes cause_yes see_yes netspeak_yes has_hashtag has_url  learn wood ducklings jump nest hatching supernature wild flyers 29 wildflyerspbs 
is_analytic_yes is_authentic_yes see_yes netspeak_yes high_wps has_url  20 year old bob dylan talk early carnival life animated interview 
is_analytic_no is_clout_yes is_authentic_no cause_yes tentat_yes achieve_yes reward_yes netspeak_yes many_sixltr has_qmark has_url  achieved racial equality depends ask 
is_analytic_no is_clout_yes is_authentic_no is_tone_no negemo_yes anger_yes discrep_yes affiliation_yes achieve_yes netspeak_yes few_sixltr low_wps has_qmark has_hashtag has_url  argue current organ donation work people able sell organs tell pointtakenpbs 
is_analytic_yes posemo_yes see_yes netspeak_yes high_wps has_hashtag has_url  koko cutest moments koko gorilla talks 7c kokotalks 
is_analytic_no is_clout_yes is_authentic_no cause_yes tentat_yes achieve_yes reward_yes netspeak_yes many_sixltr has_qmark has_url  achieved racial equality depends ask 
is_authentic_no discrep_yes certain_yes power_yes netspeak_yes many_sixltr high_wps has_photo has_hashtag has_url  campaign connection reads benghazi report release clinton campaign ads electionpbs 
is_analytic_yes is_authentic_yes insight_yes power_yes netspeak_yes many_sixltr has_url  days deadline senate consider puerto rico rescue package 
netspeak_yes few_sixltr has_qmark has_url  brexit nexit happens uk voted leave eu 
is_analytic_no is_authentic_yes is_tone_yes posemo_yes cause_yes netspeak_yes few_sixltr has_qmark has_url  paid hourly vs yearly change save 
is_analytic_yes is_authentic_yes netspeak_yes has_hashtag has_url  lookofsilencepbs starts hour 
is_analytic_yes is_authentic_yes insight_yes netspeak_yes many_sixltr low_wps has_qmark has_photo has_hashtag has_url  family connection hollywood landmark tomorrow genealogypbs 7c 
netspeak_yes low_wps has_exclam has_url  rent silicon valley 99 cents week expires 
is_authentic_yes is_tone_yes posemo_yes achieve_yes netspeak_yes many_sixltr high_wps has_hashtag has_url  endeavourpbs trewlove attraction morse mind new masterpiece studio podcast available 
